date,SPI-90d,SPEI-90d,EDDI-90d,PDSI
2022-09-07,0.32,-2.09,2.09,-3.99
2022-09-12,0.32,-2.09,2.09,-3.93
2022-09-17,0.32,-2.09,2.09,-3.87
2022-09-22,0.71,-2.09,2.09,-3.81
2022-09-27,0.39,-2.09,1.69,-3.75
2022-10-02,0.17,-2.09,2.09,-3.71
2022-10-07,0.03,-2.09,2.09,-3.68
2022-10-12,-0.1,-2.09,2.09,-3.65
2022-10-17,-0.24,-2.09,2.09,-3.64
2022-10-22,-0.46,-2.09,2.09,-3.65
2022-10-27,-0.8,-2.09,2.09,-3.67
2022-11-01,-0.71,-2.09,2.09,-3.68
2022-11-06,-0.39,-2.09,2.09,-3.68
2022-11-11,0.03,-1.45,2.09,-3.59
2022-11-16,-0.24,-1.13,2.09,-3.5
2022-11-21,-0.32,-1.01,1.69,-3.43
2022-11-26,-0.39,-1.01,1.45,-3.37
2022-12-01,-0.1,-0.46,1.13,-3.27
2022-12-06,0.17,0.03,0.47,-3.12
2022-12-11,0.54,0.39,0.17,-2.98
2022-12-16,0.39,0.32,0.17,-2.86
2022-12-21,0.17,0.1,0.63,-2.75
2022-12-26,0.03,-0.03,0.54,-2.63
2022-12-31,1.28,1.28,0.54,-2.31
